t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-09-02 18:18:13,0.00,0.00,0.00,0.0,grandpas_village,0.00,,34.449,14.079,0.00,,title
0.90,2026-09-02 18:18:13,0.00,0.00,0.00,0.0,grandpas_village,0.00,,34.449,14.079,0.00,,title
1.63,2026-09-02 18:18:52,12.33,0.90,-10.18,-85.6,grandpas_village,8.02,clear,15.467,2.204,0.00,9.63,world
2.13,2026-09-02 18:18:53,12.33,0.90,-10.18,-85.6,grandpas_village,8.04,clear,15.467,2.204,0.00,9.63,world
2.63,2026-09-02 18:18:53,12.33,0.90,-10.18,-85.6,grandpas_village,8.06,clear,18.040,376.015,0.00,9.63,world
3.13,2026-09-02 18:18:54,12.33,0.90,-10.18,-85.6,grandpas_village,8.08,clear,18.040,376.015,0.00,9.63,world
3.63,2026-09-02 18:18:54,12.33,0.90,-10.18,-85.6,grandpas_village,8.10,clear,17.635,7.172,0.00,9.63,world
4.13,2026-09-02 18:18:55,12.33,0.90,-10.18,-85.6,grandpas_village,8.12,clear,17.635,7.172,0.00,9.63,world
4.63,2026-09-02 18:18:55,12.33,0.90,-10.18,-85.6,grandpas_village,8.14,clear,19.337,5.363,0.00,9.63,world
5.13,2026-09-02 18:18:56,12.33,0.90,-10.18,-85.6,grandpas_village,8.16,clear,19.337,5.363,0.00,9.63,world
5.63,2026-09-02 18:18:56,12.33,0.90,-10.18,-85.6,grandpas_village,8.18,clear,17.822,5.893,0.00,9.63,world
6.13,2026-09-02 18:18:57,12.33,0.90,-10.18,-85.6,grandpas_village,8.20,clear,17.822,5.893,0.00,9.63,world
6.63,2026-09-02 18:18:57,12.33,0.90,-10.18,-85.6,grandpas_village,8.22,clear,15.673,5.565,0.00,9.63,world
7.13,2026-09-02 18:18:58,12.33,0.90,-10.18,-85.6,grandpas_village,8.24,clear,15.673,5.565,0.00,9.63,world
7.63,2026-09-02 18:18:58,12.33,0.90,-10.18,-85.6,grandpas_village,8.26,clear,15.424,5.301,0.00,9.63,world
8.13,2026-09-02 18:18:59,12.33,0.90,-10.18,-85.6,grandpas_village,8.28,clear,15.424,5.301,0.00,9.63,world
8.63,2026-09-02 18:18:59,12.33,0.90,-10.18,-85.6,grandpas_village,8.30,clear,16.003,5.283,0.00,9.63,world
9.13,2026-09-02 18:19:00,12.33,0.90,-10.18,-85.6,grandpas_village,8.32,clear,16.003,5.283,0.00,9.63,world
