segment	started_utc	wall_s	exit	P	F	SKIP
S01	2026-08-31T01:28:08Z	319	0	13	0	0
S02	2026-08-31T01:33:27Z	421	0	77	5	0
S02	2026-08-31T01:43:44Z	407	0	75	6	0
