segment	started_utc	wall_s	exit	P	F	SKIP
S01	2026-08-30T21:53:09Z	312	0	13	0	0
S02	2026-08-30T21:58:21Z	396	0	77	5	0
S03	2026-08-30T22:38:01Z	1213	0	383	32	0
S04	2026-08-30T22:58:14Z	411	0	53	18	0
S05	2026-08-30T23:19:28Z	863	0	59	10	0
