segment	started_utc	wall_s	exit	P	F	SKIP
S01	2026-08-31T12:14:24Z	251	0	13	0	0
S02	2026-08-31T12:18:47Z	380	0	77	4	0
S03	2026-08-31T12:25:07Z	785	0	315	28	10
S04	2026-08-31T12:38:12Z	384	0	53	18	0
