segment	started_utc	wall_s	exit	P	F	SKIP
S01	2026-08-31T19:02:06Z	277	0	13	0	0
S02	2026-08-31T19:06:43Z	403	0	78	3	0
S03	2026-08-31T19:13:26Z	961	0	315	29	9
S04	2026-08-31T19:29:27Z	462	0	53	18	0
S05	2026-08-31T19:37:09Z	825	0	71	9	0
